Дата;Тип документа;Дата документа;Номер документа;Счет-фактура;;;Дебет;Кредит;Дебет;Кредит
;Поставщик ООО "Сказка";;;;;;;;;
01.10.2021;Накладная;20.09.2021;СФ1-0578245 УПД;СФ1-0578245;;;0;370268,68;370268,68;0
01.10.2021;Накладная;31.08.2021;СФ1-0578514 УПД;СФ1-0578514;;;0;817476,22;817476,22;0
04.10.2021;Накладная;04.10.2021;СФ1-0582720 УПД;СФ1-0582720;;;0;15280,7;15280,7;0
05.10.2021;Платеж;05.10.2021;69708;;;;15142,48;0;0;15142,48
05.10.2021;Платеж;05.10.2021;69709;;;;939293,25;0;0;939293,25
05.10.2021;Платеж;05.10.2021;69710;;;;319327,46;0;0;319327,46
05.10.2021;Платеж;05.10.2021;69711;;;;318553,59;0;0;318553,59
05.10.2021;Платеж;05.10.2021;69713;;;;315406,87;0;0;315406,87
07.10.2021;Платеж;07.10.2021;70555;;;;880417,28;0;0;880417,28
07.10.2021;Платеж;07.10.2021;70556;;;;464014,48;0;0;464014,48
07.10.2021;Платеж;07.10.2021;70557;;;;1120281,05;0;0;1120281,05
07.10.2021;Платеж;07.10.2021;70558;;;;862,71;0;0;862,71
07.10.2021;Платеж;07.10.2021;70559;;;;901565,86;0;0;901565,86
07.10.2021;Накладная;07.10.2021;СФ1-0584088 УПД;СФ1-0584088;;;0;18094,34;18094,34;0
07.10.2021;Накладная;07.10.2021;СФ1-0584418 УПД;СФ1-0584418;;;0;387823,33;387823,33;0
11.10.2021;Накладная;11.10.2021;СФ1-0585148 УПД;СФ1-0585148;;;0;154851,75;154851,75;0
11.10.2021;Накладная;11.10.2021;СФ1-0585152 УПД;СФ1-0585152;;;0;28218,2;28218,2;0
11.10.2021;Накладная;11.10.2021;СФ1-0585154 УПД;СФ1-0585154;;;0;371192,4;371192,4;0
11.10.2021;Накладная;11.10.2021;СФ1-0585155 УПД;СФ1-0585155;;;0;393041,04;393041,04;0
11.10.2021;Накладная;11.10.2021;СФ1-0585177 УПД;СФ1-0585177;;;0;13286,16;13286,16;0
12.10.2021;Платеж;12.10.2021;72286;;;;286501,47;0;0;286501,47
12.10.2021;Платеж;12.10.2021;72287;;;;709396,85;0;0;709396,85
12.10.2021;Платеж;12.10.2021;72288;;;;848738,59;0;0;848738,59
12.10.2021;Платеж;12.10.2021;72289;;;;24313;0;0;24313
12.10.2021;Платеж;12.10.2021;72290;;;;27691,67;0;0;27691,67
12.10.2021;Платеж;12.10.2021;72291;;;;298339,37;0;0;298339,37
12.10.2021;Платеж;12.10.2021;72292;;;;564831,65;0;0;564831,65
12.10.2021;Платеж;12.10.2021;72293;;;;354092,23;0;0;354092,23
12.10.2021;Платеж;12.10.2021;72294;;;;520491,76;0;0;520491,76
12.10.2021;Платеж;12.10.2021;72295;;;;30372,08;0;0;30372,08
12.10.2021;Накладная;12.10.2021;СФ1-0585399 УПД;СФ1-0585399;;;0;324546,63;324546,63;0
13.10.2021;Накладная;13.10.2021;СФ1-0586011 УПД;СФ1-0586011;;;0;133491,04;133491,04;0
13.10.2021;Накладная;13.10.2021;СФ1-0586013 УПД;СФ1-0586013;;;0;30192,24;30192,24;0
13.10.2021;Накладная;13.10.2021;СФ1-0586018 УПД;СФ1-0586018;;;0;251827,8;251827,8;0
13.10.2021;Накладная;13.10.2021;СФ1-0586020 УПД;СФ1-0586020;;;0;393902,18;393902,18;0
14.10.2021;Платеж;14.10.2021;72432;;;;2000000;0;0;2000000
14.10.2021;Платеж;14.10.2021;72838;;;;24313;0;0;24313
14.10.2021;Платеж;14.10.2021;72839;;;;8781,4;0;0;8781,4
14.10.2021;Платеж;14.10.2021;72840;;;;87225,89;0;0;87225,89
14.10.2021;Накладная;14.10.2021;СФ1-0589478 УПД;СФ1-0589478;;;0;697667,79;697667,79;0
14.10.2021;Накладная;14.10.2021;СФ1-0589480 УПД;СФ1-0589480;;;0;691985,57;691985,57;0
14.10.2021;Накладная;14.10.2021;СФ1-0589481 УПД;СФ1-0589481;;;0;704842,91;704842,91;0
14.10.2021;Накладная;14.10.2021;СФ1-0589483 УПД;СФ1-0589483;;;0;729369,06;729369,06;0
14.10.2021;Накладная;14.10.2021;СФ1-0589484 УПД;СФ1-0589484;;;0;702255,91;702255,91;0
14.10.2021;Накладная;14.10.2021;СФ1-0589486 УПД;СФ1-0589486;;;0;714743,7;714743,7;0
14.10.2021;Накладная;14.10.2021;СФ1-0589487 УПД;СФ1-0589487;;;0;706936,16;706936,16;0
14.10.2021;Накладная;14.10.2021;СФ1-0589489 УПД;СФ1-0589489;;;0;715742,2;715742,2;0
14.10.2021;Накладная;14.10.2021;СФ1-0589491 УПД;СФ1-0589491;;;0;736773,9;736773,9;0
14.10.2021;Накладная;14.10.2021;СФ1-0589492 УПД;СФ1-0589492;;;0;1237745,59;1237745,59;0
14.10.2021;Накладная;14.10.2021;СФ1-0589499 УПД;СФ1-0589499;;;0;705023,26;705023,26;0
19.10.2021;Платеж;19.10.2021;73375;;;;4000000;0;0;4000000
19.10.2021;Накладная;19.10.2021;СФ1-0587763 УПД;СФ1-0587763;;;0;49298,2;49298,2;0
19.10.2021;Накладная;19.10.2021;СФ1-0587889 УПД;СФ1-0587889;;;0;322389,44;322389,44;0
21.10.2021;Платеж;21.10.2021;74084;;;;2000000;0;0;2000000
21.10.2021;Накладная;21.10.2021;СФ1-0588873 УПД;СФ1-0588873;;;0;49231,82;49231,82;0
26.10.2021;Платеж;26.10.2021;75605;;;;1391036,21;0;0;1391036,21
26.10.2021;Платеж;26.10.2021;76162;;;;311127,05;0;0;311127,05
28.10.2021;Платеж;28.10.2021;77049;;;;368110,46;0;0;368110,46
28.10.2021;Платеж;28.10.2021;77050;;;;313851,02;0;0;313851,02
28.10.2021;Платеж;28.10.2021;77051;;;;313424,62;0;0;313424,62
01.11.2021;Накладная;24.09.2021;СФ1-0580066 УПД;СФ1-0580066;;;0;306899,9;306899,9;0
01.11.2021;Накладная;01.10.2021;СФ1-0582401 УПД;СФ1-0582401;;;0;1290;1290;0
01.11.2021;Накладная;06.10.2021;СФ1-0583999 УПД;СФ1-0583999;;;0;9220,4;9220,4;0
01.11.2021;Накладная;11.10.2021;СФ1-0584867 УПД;СФ1-0584867;;;0;6661,2;6661,2;0
01.11.2021;Накладная;13.10.2021;СФ1-0585885 УПД;СФ1-0585885;;;0;153214,59;153214,59;0
01.11.2021;Накладная;13.10.2021;СФ1-0585887 УПД;СФ1-0585887;;;0;14726,8;14726,8;0
01.11.2021;Накладная;13.10.2021;СФ1-0585891 УПД;СФ1-0585891;;;0;419232,77;419232,77;0
01.11.2021;Накладная;13.10.2021;СФ1-0585893 УПД;СФ1-0585893;;;0;384145,94;384145,94;0
01.11.2021;Накладная;13.10.2021;СФ1-0585903 УПД;СФ1-0585903;;;0;2367572,59;2367572,59;0
01.11.2021;Накладная;13.10.2021;СФ1-0585966 УПД;СФ1-0585966;;;0;373310,73;373310,73;0
01.11.2021;Накладная;15.10.2021;СФ1-0586822 УПД;СФ1-0586822;;;0;37950;37950;0
01.11.2021;Накладная;15.10.2021;СФ1-0586828 УПД;СФ1-0586828;;;0;307788,15;307788,15;0
01.11.2021;Накладная;18.10.2021;СФ1-0587082 УПД;СФ1-0587082;;;0;146844,12;146844,12;0
01.11.2021;Накладная;18.10.2021;СФ1-0587085 УПД;СФ1-0587085;;;0;14994,34;14994,34;0
01.11.2021;Накладная;18.10.2021;СФ1-0587086 УПД;СФ1-0587086;;;0;416562,73;416562,73;0
01.11.2021;Накладная;18.10.2021;СФ1-0587088 УПД;СФ1-0587088;;;0;391730,24;391730,24;0
01.11.2021;Накладная;18.10.2021;СФ1-0587098 УПД;СФ1-0587098;;;0;163630,54;163630,54;0
01.11.2021;Накладная;18.10.2021;СФ1-0587100 УПД;СФ1-0587100;;;0;271156,3;271156,3;0
01.11.2021;Накладная;18.10.2021;СФ1-0587101 УПД;СФ1-0587101;;;0;393160,51;393160,51;0
01.11.2021;Накладная;22.10.2021;СФ1-0589054 УПД;СФ1-0589054;;;0;321358,2;321358,2;0
01.11.2021;Накладная;01.11.2021;СФ1-0591771 УПД;СФ1-0591771;;;0;28504,25;28504,25;0
